"SessionID","StudentLevel","Discipline","SessionDate","SessionLengthMin","TotalPrompts","TaskType","AI_AssistanceLevel","FinalOutcome","UsedAgain","SatisfactionRating","Month","Year","DayOfWeek","SessionEfficiency","Cluster"
"SESSION00001","Undergraduate","Computer Science",2024-11-03,31.2,11,"Studying",2,"Assignment Completed","True",1,"11","2024","Sunday",0.352564102564103,2
"SESSION00002","Undergraduate","Psychology",2024-08-25,13.09,6,"Studying",3,"Assignment Completed","True",2,"08","2024","Sunday",0.458365164247517,2
"SESSION00003","Undergraduate","Business",2025-01-12,19.22,5,"Coding",3,"Assignment Completed","True",3.3,"01","2025","Sunday",0.260145681581686,2
"SESSION00004","Undergraduate","Computer Science",2025-05-06,3.7,1,"Coding",3,"Assignment Completed","True",3.5,"05","2025","Tuesday",0.27027027027027,2
"SESSION00005","Undergraduate","Psychology",2025-03-18,28.12,9,"Writing",3,"Assignment Completed","True",2.9,"03","2025","Tuesday",0.320056899004267,2
"SESSION00006","Graduate","Business",2025-01-17,7.54,1,"Coding",5,"Idea Drafted","True",5,"01","2025","Friday",0.13262599469496,1
"SESSION00007","High School","Biology",2024-09-07,14.6,3,"Writing",3,"Assignment Completed","False",1.9,"09","2024","Saturday",0.205479452054795,2
"SESSION00008","Undergraduate","Biology",2024-12-26,9.2,3,"Writing",5,"Assignment Completed","True",3.9,"12","2024","Thursday",0.326086956521739,1
"SESSION00009","Undergraduate","Business",2025-06-18,8.15,1,"Brainstorming",3,"Assignment Completed","True",3.3,"06","2025","Wednesday",0.122699386503067,2
"SESSION00010","Undergraduate","Math",2025-04-14,5.57,1,"Studying",3,"Assignment Completed","False",1.4,"04","2025","Monday",0.179533213644524,2
"SESSION00011","High School","Math",2025-02-24,24.52,6,"Writing",2,"Assignment Completed","False",1.9,"02","2025","Monday",0.244698205546493,2
"SESSION00012","Undergraduate","Psychology",2024-11-07,11.51,5,"Coding",3,"Assignment Completed","False",3.9,"11","2024","Thursday",0.434404865334492,1
"SESSION00013","Undergraduate","History",2024-07-05,15.47,6,"Studying",5,"Idea Drafted","True",4.9,"07","2024","Friday",0.387847446670976,1
"SESSION00014","Undergraduate","Business",2024-11-03,24.13,5,"Writing",4,"Idea Drafted","True",3.7,"11","2024","Sunday",0.207210940737671,1
"SESSION00015","High School","Computer Science",2025-05-21,22.51,8,"Writing",3,"Assignment Completed","True",4.9,"05","2025","Wednesday",0.355397601066193,1
"SESSION00016","High School","Psychology",2024-11-22,22.16,6,"Coding",2,"Idea Drafted","True",2.8,"11","2024","Friday",0.270758122743682,2
